Fossavatnsgangan	nvengs
á	aþ
Ísafirði	nkeþ-s
er	sfg3en
elsta	lhenve
skíðamót	nhen
sem	ct
enn	aa
er	sfg3en
við	ao
lýði	nkfo
á	aþ
Íslandi	nheþ-s
og	c
hefur	sfg3en
jafnframt	aa
verið	ssg
fjölmennasta	lhenve
skíðagöngumót	nhen
landsins	nheeg
undanfarin	lhfosf
ár	nhfo
,	,
með	ao
100-150	ta
þátttakendur	nkfo
.	.

Komin	sþgven
er	sfg3en
hefð	nven
á	ao
að	c
gangan	nveng
fari	svg3en
fram	aa
fyrsta	lkeove
laugardag	nkeo
í	aþ
maí	nkeþ
og	c
markar	sfg3en
hún	fpven
jafnan	aa
lok	nhfo
skíðavertíðarinnar	nveeg
hér	aa
á	aþ
landi	nheþ
.	.

Að	aþ
þessu	faheþ
sinni	nheþ
fer	sfg3en
ganga	nven
þó	aa
fram	aa
hinn	gkeo
30.	ta
apríl	nkeo
.	.

Göngunni	nveþg
er	sfg3en
ætlað	sþghen
að	cn
vera	sng
vettvangur	nken
fyrir	ao
alla	fokfo
unnendur	nkfo
skíðaíþróttarinnar	nveeg
og	c
hollrar	lveesf
útiveru	nvee
,	,
hvort	c
sem	c
það	fphen
eru	sfg3fn
þrautþjálfaðir	lkfnsf
keppnismenn	nkfn
,	,
útivistarfólk	nhen
,	,
trimmarar	nkfn
,	,
byrjendur	nkfn
eða	c
börn	nhfn
.	.

Allir	fokfn
geta	sfg3fn
valið	ssg
sér	fpkfþ
vegalengd	nveo
hæfi	nheo
,	,
og	c
hversu	aa
breitt	lhensf
sem	ct
bilið	nheng
verður	sfg3en
á	aa
milli	ae
manna	nkfe
í	aþ
brautinni	nveþg
,	,
þá	aa
sameinast	sfm3fn
allir	fokfn
að	aþ
göngu	nveþ
lokinni	lveþsf
í	aþ
hinu	gheþ
víðfræga	lheþvf
Fossavatnskaffi	nheþ-s
,	,
þar	aa
sem	c
viðurkenningar	nvfn
eru	sfg3fn
veittar	sþgvfn
og	c
borðin	nhfng
svigna	sfg3fn
undan	aþ
kaffikrásunum	nvfþg
.	.

Mikill	lkensf
fjöldi	nken
Íslendinga	nkfe-s
var	sfg3eþ
á	aþ
Kanaríeyjum	nvfþ-s
um	ao
páskahátíðina	nveog
og	c
þá	aa
var	sfg3eþ
líka	aa
í	ao
mörg	lhfosf
horn	nhfo
að	cn
líta	sng
hjá	aþ
veitingamanninum	nkeþg
Klöru	nveþ-s
Baldursdóttur	nveþ-s
á	aþ
Klörubar	nkeþ-s
.	.

Klara	nven-s
hefur	sfg3en
ásamt	aþ
spænskum	lkeþsf
eiginmanni	nkeþ
sínum	fekeþ
Francisco	e
Casadesús	e
rekið	ssg
Íslendingastaðinn	nkeogs
Cosmos	e
eða	c
Klörubar	nkeo-s
undanfarin	lhfosf
22	ta
ár	nhfo
og	c
segir	sfg3en
hún	fpven
að	c
ekkert	fohen
fararsnið	nhen
sé	svg3en
enn	aa
á	aþ
sér	fpveþ
.	.

Yndislegt	lhensf
sé	svg3en
að	cn
búa	sng
á	aþ
Kanaríeyjum	nvfþ-s
þar	aa
sem	c
veðrið	nheng
alltaf	aa
eins	aa
og	c
hugur	nken
manns	nkee
,	,
aldrei	aa
of	aa
heitt	lhensf
og	c
aldrei	aa
of	aa
kalt	lhensf
.	.

Það	fphen
má	sfg3en
því	aa
skella	sng
skuldinni	nveþg
á	ao
veðráttuna	nveog
og	c
loftslagið	nheog
.	.

Við	fp1fn
hjónin	nhfng
komum	sfg1fþ
hingað	aa
fyrst	aae
í	aþ
desember	nkeþ
árið	nheog
1973	ta
og	c
ætluðum	sfg1fþ
að	cn
dvelja	sng
hér	aa
í	ao
þrjá	tfkfo
mánuði	nkfo
.	.

Síðan	aa
er	sfg3en
liðið	sþghen
31	ta
ár	nhen
,	,
sagði	sfg3eþ
Klara	nven-s
í	aþ
símaspjalli	nheþ
við	ao
Ferðablaðið	nheogs
að	aþ
aflokinni	lveþsf
páskatörninni	nveþg
.	.

Klörubar	nken-s
er	sfg3en
í	aþ
Yumbo	e
Center	e
,	,
sem	ct
er	sfg3en
stærsta	lvenve
verslunarmiðstöðin	nveng
á	aþ
svæðinu	nheþg
.	.

Síðastliðið	lheosf
haust	nheo
losnaði	sfg3eþ
verslunarpláss	nhen
við	ao
hliðina	nveog
á	aþ
Klörubar	nkeþ-s
og	c
ákvað	sfg3eþ
Klara	nven-s
þá	aa
að	cn
skella	sng
sér	fpveþ
út	aa
í	ao
stækkun	nveo
staðarins	nkeeg
.	.

Stækkunin	nveng
breytir	sfg3en
heilmiklu	lheþsf
fyrir	ao
okkur	fp1fo
enda	c
var	sfg3eþ
orðið	sþghen
svolítið	aa
þröngt	lhensf
miðað	sþghen
við	ao
allan	fokeo
þann	fakeo
fjölda	nkeo
,	,
sem	ct
hingað	aa
kemur	sfg3en
.	.

Ég	fp1en
náði	sfg1eþ
að	cn
stækka	sng
eldhúsið	nheog
um	ao
helming	nkeo
sem	ct
gjörbreytir	sfg3en
vinnuaðstöðu	nveþ
starfsfólksins	nheeg
auk	ae
þess	fphee
sem	ct
búin	sþghfn
voru	sfg3fþ
til	ae
stærri	lhfnvm
snyrtiherbergi	nhfn
og	c
nýr	lkensf
bar	nken
.	.

Út	aa
