Málverkafölsunarmálið	nheng

Menntamálaráðherra	nken
ætlar	sfg3en
að	cn
skipa	sng
starfshóp	nkeo
til	ae
að	cn
fara	sng
yfir	ao
málverkafölsunarmálið	nheog
og	c
segir	sfg3en
brýnt	lheosf
að	cn
ákveða	sng
hvað	fsheo
eigi	svg3en
að	cn
gera	sng
við	ao
fölsuð	lhfosf
málverk	nhfo
sem	ct
séu	svg3fn
í	aþ
umferð	nveþ
.	.

Sýknudómur	nken
Hæstaréttar	nkee-s
breyti	svg3en
engu	foheþ
þar	aa
um	aa
.	.

Stjórn	nven
Sambands	nhee-s
íslenskra	lkfesf
myndlistarmanna	nkfe
harmar	sfg3en
þær	favfo
ömurlegu	lvfovf
afleiðingar	nvfo
sem	ct
úrskurður	nken
Hæstaréttar	nkee-s
í	aþ
málverkafölsunarmálinu	nheþg
hefur	sfg3en
fyrir	ao
íslenska	lveosf
myndlist	nveo
.	.

Stjórnin	nveng
segir	sfg3en
í	aþ
ályktun	nveþ
að	c
það	fphen
sé	svg3en
gríðarlegt	lhensf
áfall	nhen
fyrir	ao
íslenskt	lheosf
myndlistarlíf	nheo
að	c
verkin	nhfng
sem	ct
um	aa
ræðir	sfg3en
fái	svg3fn
nú	aa
heimfararleyfi	nheo
sem	ct
ófölsuð	lhfnsf
,	,
en	c
flestum	lkfþse
blandist	svm3fn
hugur	nken
um	ao
að	c
þau	fphfn
séu	svg3fn
að	aþ
stórum	lkeþsf
ef	c
ekki	aa
öllum	fokeþ
hluta	nkeþ
fölsuð	lhfnsf
.	.

Það	fphen
hljóti	svg3en
að	cn
vera	sng
verkefni	nhen
yfirvalda	nhfe
að	cn
fá	sng
úr	aþ
því	fpheþ
skorið	ssg
hvort	c
um	ao
falsanir	nvfo
sé	svg3en
að	cn
ræða	sng
eða	c
ekki	aa
,	,
burtséð	aa
frá	aþ
því	fpheþ
hver	fsken
framdi	sfg3eþ
glæpinn	nkeog
.	.

Stjórnin	nveng
skorar	sfg3en
á	ao
stjórnvöld	nhfo
að	cn
finna	sng
færa	lveosf
leið	nveo
til	ae
að	cn
koma	sng
fölsuðu	lhfþvf
listaverkunum	nhfþg
úr	aþ
umferð	nveþ
.	.

Valgerður	nven-s
Jóhannsdóttir	nven-s
:	:
«	«
Þorgerður	nven-s
Katrín	nven-s
Gunnarsdóttir	nven-s
,	,
menntamálaráðherra	nken
,	,
hver	fshfn
eru	sfg3fn
þín	fehfn
viðbrögð	nhfn
við	aþ
þessari	faveþ
áskorun	nveþ
myndlistarmanna	nkfe
?	?
»	»

Þorgerður	nven-s
Katrín	nven-s
Gunnarsdóttir	nven-s
,	,
menntamálaráðherra	nken
:	:
«	«
Mín	fehfn
viðbrögð	nhfn
eru	sfg3fn
þau	fphfn
að	c
fyrir	aþ
þó	aa
nokkru	foheþ
síðan	aa
að	aa
þá	aa
ákvað	sfg1eþ
ég	fp1en
að	c
það	fphen
yrði	svg3eþ
farið	sþghen
mjög	aa
gaumgæfilega	aa
yfir	ao
þetta	faheo
mál	nheo
,	,
yfir	ao
málverkafölsunarmálið	nheog
og	c
hef	sfg1en
þegar	aa
ákveðið	ssg
það	fpheo
að	cn
skipa	sng
starfshóp	nkeo
sem	ct
að	c
fer	sfg3en
yfir	ao
þetta	faheo
mál	nheo
með	ao
höfundarrétt	nkeo
í	aþ
hug	nkeþ
,	,
með	ao
það	fpheo
hvernig	aa
eigi	svg3en
að	cn
skrá	sng
málverk	nhfo
sér	fpheþ
í	aþ
lagi	nheþ
gömlu	lkfevf
meistaranna	nkfeg
