Verslóritgerðir	nvfn-s
2002	ta
,	,
strákar	nkfn

Er	sfg3en
ungt	lhensf
fólk	nhen
auðveld	lvensf
bráð	nven
óprútinna	lkfesf
auglýsenda	nkfe
?	?

Í	aþ
lífsgæðakapphlaupi	nheþ
nútímans	nkeeg
verða	sfg3fn
auglýsendur	nkfn
sífellt	aa
bíræfnari	lkfnvm
.	.

Samkeppnin	nveng
um	ao
neytendur	nkfo
fer	sfg3en
harðnandi	slg
og	c
auglýsingastofur	nvfn
skjóta	sfg3fn
upp	aa
kollinum	nkeþg
,	,
hver	foven
á	aa
eftir	aþ
annarri	foveþ
.	.

Fyrirtæki	nhfn
fara	sfg3fn
áður	aa
ótroðnar	lvfosf
slóðir	nvfo
í	aþ
auglýsingum	nvfþ
sínum	fevfþ
og	c
ríður	sfg3en
oft	aa
um	ao
þverbak	nheo
í	aþ
þeim	fahfþ
efnum	nhfþ
.	.

Það	fahen
sem	ct
vekur	sfg3en
hins	fakee
vegar	nkee
mestan	lkeose
óhug	nkeo
fólks	nhee
er	sfg3en
hve	aa
auglýsingum	nvfþ
er	sfg3en
beint	sþghen
í	aþ
æ	aa
ríkari	lkeþvm
mæli	nkeþ
til	ae
ungs	lheesf
fólks	nhee
.	.

Markhópurinn	nkeng
verður	sfg3en
stöðugt	aa
yngri	lkenvm
og	c
er	sfg3en
það	fphen
mörgum	lkfþsf
hið	ghen
mesta	lhenve
áhyggjuefni	nhen
.	.

Ungt	lhensf
fólk	nhen
er	sfg3en
æðiáhrifagjarnt	lhensf
vegna	ae
þess	fphee
á	aþ
hve	aa
mótandi	lkeþof
aldri	nkeþ
það	fphen
er	sfg3en
.	.

Lítið	lheosf
þarf	sfg3en
til	ae
að	cn
breyta	sng
skoðunum	nvfþ
þess	fphee
og	c
lífsviðhorfum	nhfþ
.	.

Það	fphen
hefur	sfg3en
meira	lheovm
fé	nheo
milli	ae
handanna	nvfeg
en	c
áður	aa
fyrr	aam
og	c
vílar	sfg3en
ekki	aa
fyrir	aþ
sér	fpheþ
að	cn
steypa	sng
sér	fpheþ
í	ao
skuldir	nvfo
til	ae
að	cn
heltast	snm
ekki	aa
úr	aþ
neyslukapphlaupslestinni	nveþg
.	.

Í	ao
dag	nkeo
þykir	sfg3en
forneskjulegt	lhensf
meðal	ae
ungs	lheesf
fólks	nhee
að	cn
eiga	sng
ekki	aa
nýjustu	lhfove
tæki	nhfo
og	c
tól	nhfo
,	,
t.a.m.	as
farsíma	nkeo
,	,
víðómahljómflutningstæki	nhfo
,	,
sjónvarp	nheo
,	,
videotæki	nheo
,	,
DVD-spilara	nkeo
og	c
fartölvu	nveo
.	.

Ungt	lhensf
fólk	nhen
virðist	sfm3en
líta	sng
á	ao
skuldir	nvfo
sem	ct
vandamál	nheo
morgundagsins	nkeeg
og	c
tekur	sfg3en
fyrir	ao
einn	tfkeo
dag	nkeo
í	aþ
einu	lheþsf
í	aþ
neyslugleði	nveþ
sinni	feveþ
.	.

Það	fphen
er	sfg3en
einnig	aa
fljótt	lhensf
að	cn
gleyma	sng
;	;
gleypir	sfg3en
hvert	foheo
tískufyrirbrigið	nheog
á	ao
fætur	nkfo
öðru	foheþ
og	c
gleymir	sfg3en
því	faheþ
síðasta	lheþve
.	.

Peningaleysi	nhen
stendur	sfg3en
því	fpheþ
ekki	aa
fyrir	aþ
þrifum	nhfþ
,	,
langi	svg3en
það	fpheo
í	ao
eitthvað	foheo
.	.

Þegar	c
kemur	sfg3en
að	aþ
skuldadögum	nkfþ
eru	sfg3fn
aðrir	fokfn
látnir	sþgkfn
borga	sng
brúsann	nkeog
.	.

Í	aþ
harðnandi	lveþof
samkeppni	nveþ
virðast	sfm3fn
auglýsendur	nkfn
hafa	sng
komist	ssm
á	ao
nýtt	lheosf
gróðabragð	nheo
og	c
bera	sfg3fn
ófáar	lvfnsf
auglýsingar	nvfn
þess	fphee
merki	nheo
.	.

Í	aþ
auglýsingum	nvfþ
leikur	sfg3en
yfirleitt	aa
ungt	lhensf
og	c
myndarlegt	lhensf
fólk	nhen
í	aþ
flottum	lhfþsf
fötum	nhfþ
.	.

Fólk	nhen
sem	ct
hefur	sfg3en
ekki	aa
áhyggjur	nvfo
af	aþ
