23.1.2006	B-Date

Falinn	B-Miscellaneous
(	O
Caché	B-Miscellaneous
)	O

Á	O
frönsku	O
kvikmyndahátíðinni	O
í	O
Háskólabíói	B-Organization
er	O
sýnd	O
myndin	O
Caché	B-Miscellaneous
,	O
eða	O
Falinn	B-Miscellaneous
,	O
með	O
Juliette	B-Person
Binoche	I-Person
og	O
Daniel	B-Person
Auteuil	I-Person
í	O
aðalhlutverkum	O
.	O

Myndin	O
hefur	O
farið	O
sigurför	O
um	O
heiminn	O
og	O
var	O
tilnefnd	O
til	O
Gullpálmans	B-Miscellaneous
á	O
Cannes	B-Miscellaneous
síðastliðið	O
vor	O
.	O

Hún	O
laut	O
í	O
lægra	O
haldi	O
fyrir	O
belgísku	O
myndinni	O
Barnið	B-Miscellaneous
,	O
mynd	O
sem	O
ég	O
fjallaði	O
um	O
fyrir	O
jól	O
og	O
var	O
ekki	O
sérlega	O
hrifin	O
af	O
.	O

Caché	B-Miscellaneous
fékk	O
hins	O
vegar	O
gagnrýnendaverðlaun	O
á	O
Cannes	B-Miscellaneous
,	O
einnig	O
verðlaun	O
fyrir	O
bestu	O
leikstjórn	O
og	O
sérstök	O
verðlaun	O
dómnefndar	O
.	O

Hún	O
hlaut	O
auk	O
þess	O
Evrópsku	B-Miscellaneous
kvikmyndaverðlaunin	I-Miscellaneous
.	O

Myndin	O
segir	O
frá	O
hjónunum	O
Georges	B-Person
og	O
Anne	B-Person
,	O
sem	O
lifa	O
þægilegu	O
lífi	O
meðal	O
menntaðrar	O
millistéttar	O
Parísar	B-Location
.	O

Eru	O
í	O
bókmenntaelítunni	O
,	O
hann	O
stjórnar	O
sjónvarpþætti	O
með	O
djúpum	O
bókmenntaumræðum	O
en	O
hún	O
vinnur	O
hjá	O
útgáfu	O
.	O

Lífið	O
fer	O
smám	O
saman	O
úr	O
skorðum	O
þegar	O
þeim	O
fara	O
að	O
berast	O
nafnlausar	O
sendingar	O
,	O
spólur	O
sem	O
sýna	O
þau	O
fyrir	O
framan	O
heimili	O
þeirra	O
ásamt	O
ógnvænlegum	O
teikningum	O
.	O

Smám	O
saman	O
verða	O
upptökurnar	O
persónulegri	O
og	O
ljóst	O
er	O
að	O
sendandinn	O
hefur	O
þekkt	O
Georges	B-Person
lengi	O
.	O

Leikstjóri	O
myndarinnar	O
Michael	B-Person
Haneke	I-Person
hefur	O
gert	O
fjölda	O
áhugaverðra	O
mynda	O
svo	O
sem	O
Code	B-Miscellaneous
inconnu	I-Miscellaneous
,	O
La	B-Miscellaneous
Pianiste	I-Miscellaneous
og	O
Funny	B-Miscellaneous
Games	I-Miscellaneous
.	O

Hann	O
hefur	O
einstakt	O
lag	O
á	O
að	O
hræra	O
upp	O
í	O
áhorfendum	O
og	O
koma	O
þeim	O
óþægilega	O
á	O
óvart	O
.	O

Það	O
vita	O
þeir	O
sem	O
hafa	O
séð	O
fyrri	O
myndir	O
hans	O
.	O

Falinn	O
er	O
hreint	O
ekki	O
undantekning	O
frá	O
reglunni	O
og	O
segja	O
má	O
að	O
hún	O
komi	O
enn	O
meira	O
við	O
kvikuna	O
en	O
hinar	O
.	O

Tvö	O
blóði	O
drifin	O
atriði	O
í	O
myndinni	O
eru	O
ekki	O
fyrir	O
viðkvæma	O
en	O
svo	O
er	O
líka	O
ýmislegt	O
annað	O
sem	O
sest	O
á	O
sálina	O
á	O
manni	O
og	O
myndin	O
vekur	O
sannarlega	O
fleiri	O
spurningar	O
en	O
hún	O
svarar	O
.	O

Það	O
er	O
svo	O
margt	O
sem	O
gaman	O
er	O
að	O
spá	O
í	O
þegar	O
maður	O
horfir	O
á	O
Caché	B-Miscellaneous
og	O
hún	O
er	O
ein	O
af	O
þeim	O
myndum	O
sem	O
væri	O
gaman	O
að	O
skoða	O
nánar	O
við	O
tækifæri	O
.	O

Myndin	O
er	O
tekin	O
í	O
miklum	O
raunsæisstíl	O
,	O
það	O
er	O
engin	O
kvikmyndatónlist	O
,	O
birtan	O
oftast	O
náttúruleg	O
,	O
förðun	O
í	O
algjöru	O
lágmarki	O
,	O
og	O
stjarnan	O
Juliette	B-Person
Binoche	I-Person
ógreidd	O
.	O

Hún	O
er	O
ekki	O
með	O
stíliseraðan	O
úfinn	O
hænurass	O
a	O
la	O
Meg	B-Person
Ryan	I-Person
,	O
nei	O
hún	O
er	O
ógreidd	O
eins	O
og	O
þegar	O
maður	O
hefur	O
unnið	O
mikið	O
og	O
ekki	O
haft	O
tíma	O
til	O
að	O
renna	O
greiðu	O
gegnum	O
hárið	O
.	O

Og	O
úfin	O
eins	O
og	O
maður	O
þegar	O
maður	O
hefur	O
heldur	O
ekki	O
haft	O
tíma	O
til	O
að	O
fara	O
í	O
klippingu	O
.	O

Hún	O
verður	O
líka	O
mjög	O
eðlilega	O
reið	O
og	O
pirruð	O
og	O
sama	O
má	O
segja	O
um	O
Daniel	B-Person
Auteuil	I-Person
í	O
hlutverki	O
eiginmannsins	O
.	O

Þau	O
leika	O
bæði	O
afburða	O
vel	O
og	O
sama	O
má	O
segja	O
um	O
aðra	O
í	O
myndinni	O
.	O

Ein	O
af	O
mörgum	O
skemmtilegum	O
tilraunum	O
sem	O
Haneke	B-Person
gerir	O
í	O
töku	O
er	O
í	O
byrjun	O
myndarinnar	O
.	O

Strax	O
þá	O
gerir	O
hann	O
áhorfendum	O
grein	O
fyrir	O
að	O
hann	O
ætlar	O
sér	O
að	O
rugla	O
þá	O
í	O
ríminu	O
,	O
láta	O
þá	O
velkjast	O
í	O
vafa	O
um	O
það	O
annað	O
slagið	O
hvort	O
þeir	O
eru	O
að	O
horfa	O
á	O
upptöku	O
úr	O
falinni	O
myndavél	O
eða	O
á	O
myndina	O
sjálfa	O
.	O

Haneke	B-Person
lætur	O
líða	O
10-15	O
mínútur	O
áður	O
en	O
áhorfandinn	O
fær	O
að	O
sjá	O
framan	O
í	O
aðalleikkonu	O
myndarinnar	O
.	O

Juliette	B-Person
Binoche	I-Person
er	O
þó	O
í	O
mynd	O
næstum	O
allan	O
þann	O
tíma	O
,	O
en	O
maður	O
sér	O
bara	O
aftan	O
á	O
hana	O
eða	O
sér	O
hana	O
frá	O
hlið	O
.	O

Áhorfandinn	O
fær	O
þó	O
ógreinilega	O
mynd	O
af	O
andliti	O
hennar	O
tvisvar	O
á	O
þessum	O
tíma	O
þegar	O
hún	O
gengur	O
hratt	O
fram	O
hjá	O
linsunni	O
.	O

Allt	O
þetta	O
lætur	O
mann	O
fá	O
á	O
tilfinninguna	O
að	O
maður	O
sé	O
óvelkominn	O
áhorfandi	O
,	O
að	O
maður	O
sé	O
að	O
njósna	O
.	O

Eins	O
og	O
þegar	O
maður	O
horfir	O
á	O
mynd	O
úr	O
falinni	O
myndavél	O
eða	O
öryggismyndavél	O
sem	O
hefur	O
verið	O
notuð	O
til	O
að	O
vakta	O
svæði	O
.	O

Óþægindin	O
verða	O
tvenns	O
konar	O
í	O
myndinni	O
,	O
tilfinningin	O
að	O
maður	O
sé	O
látinn	O
horfa	O
